iter	Passed	Remaining
0	141	141230
1	142	70908
2	142	47461
3	143	35726
4	144	28739
5	145	24054
6	145	20691
7	146	18163
8	147	16191
9	147	14610
10	148	13314
11	148	12233
12	149	11318
13	149	10534
14	150	9855
15	150	9259
16	151	8735
17	151	8268
18	152	7850
19	152	7474
20	153	7134
21	153	6825
22	154	6552
23	154	6294
24	155	6057
25	155	5836
26	156	5632
27	156	5442
28	157	5266
29	157	5101
30	158	4947
31	158	4802
32	159	4667
33	159	4539
34	160	4418
35	160	4304
36	161	4196
37	161	4094
38	162	3997
39	162	3905
40	163	3817
41	163	3734
42	164	3657
43	164	3582
44	165	3509
45	165	3439
46	166	3373
47	166	3309
48	167	3248
49	167	3189
50	168	3133
51	169	3082
52	169	3031
53	170	2981
54	170	2932
55	171	2885
56	171	2840
57	172	2796
58	172	2754
59	173	2713
60	173	2673
61	174	2637
62	174	2601
63	175	2565
64	175	2530
65	176	2496
66	176	2463
67	177	2431
68	177	2400
69	178	2370
70	178	2341
71	179	2312
72	179	2284
73	180	2257
74	180	2230
75	181	2205
76	181	2180
77	182	2155
78	182	2132
79	183	2109
80	183	2087
81	184	2065
82	184	2041
83	185	2020
84	185	2000
85	186	1980
86	186	1960
87	187	1940
88	187	1921
89	188	1903
90	188	1885
91	189	1867
92	189	1850
93	190	1833
94	190	1816
95	191	1800
96	191	1784
97	192	1769
98	192	1753
99	193	1738
100	193	1723
101	194	1710
102	194	1696
103	195	1682
104	195	1668
105	196	1655
106	196	1642
107	197	1629
108	197	1616
109	198	1604
110	198	1591
111	199	1579
112	199	1567
113	200	1556
114	200	1544
115	201	1533
116	201	1521
117	202	1510
118	202	1499
119	203	1489
120	203	1478
121	203	1467
122	204	1458
123	205	1449
124	205	1439
125	206	1429
126	206	1419
127	207	1410
128	207	1401
129	208	1392
130	208	1383
131	208	1374
132	209	1365
133	209	1356
134	210	1348
135	210	1340
136	211	1331
137	211	1323
138	212	1315
139	212	1307
140	213	1300
141	213	1291
142	214	1284
143	214	1277
144	215	1270
145	216	1263
146	216	1256
147	217	1249
148	217	1242
149	218	1235
150	218	1229
151	219	1222
152	219	1215
153	220	1208
154	220	1202
155	221	1195
156	221	1189
157	222	1183
158	222	1176
159	223	1170
160	223	1163
161	223	1157
162	224	1152
163	224	1146
164	225	1141
165	225	1135
166	226	1129
167	226	1124
168	227	1118
169	227	1113
170	228	1107
171	228	1102
172	229	1096
173	229	1091
174	230	1086
175	230	1081
176	231	1075
177	231	1070
178	232	1065
179	232	1060
180	233	1056
181	233	1051
182	234	1047
183	235	1042
184	235	1037
185	236	1033
186	236	1028
187	237	1023
188	237	1019
189	238	1014
190	238	1010
191	239	1005
192	239	1001
193	240	997
194	240	992
195	241	988
196	241	984
197	242	980
198	242	976
199	243	972
200	243	967
201	243	963
202	244	960
203	245	956
204	245	952
205	246	948
206	246	944
207	247	940
208	247	937
209	248	933
210	248	929
211	249	925
212	249	922
213	250	918
214	250	914
215	251	911
216	251	907
217	252	904
218	252	900
219	253	897
220	253	893
221	254	890
222	254	887
223	255	884
224	255	880
225	256	877
226	256	874
227	257	872
228	258	868
229	258	865
230	259	862
231	259	859
232	260	855
233	260	852
234	260	849
235	261	846
236	261	843
237	262	840
238	262	837
239	263	834
240	263	831
241	264	828
242	265	825
243	265	822
244	266	819
245	266	817
246	267	814
247	267	811
248	268	809
249	268	806
250	269	803
251	269	800
252	270	797
253	270	795
254	271	792
255	271	789
256	272	787
257	272	784
258	273	781
259	273	779
260	274	776
261	274	774
262	275	771
263	275	769
264	276	766
265	276	763
266	277	761
267	277	758
268	278	756
269	278	753
270	279	751
271	279	748
272	280	746
273	280	743
274	281	741
275	281	739
276	282	736
277	282	734
278	283	732
279	283	729
280	284	727
281	284	725
282	285	723
283	285	720
284	286	718
285	286	716
286	287	714
287	287	711
288	288	709
289	288	707
290	289	705
291	289	702
292	290	700
293	290	698
294	291	696
295	291	694
296	292	692
297	292	690
298	293	688
299	293	685
300	294	684
301	295	682
302	295	680
303	296	678
304	296	676
305	297	674
306	297	671
307	298	669
308	298	667
309	299	665
310	299	663
311	300	661
312	300	659
313	301	657
314	301	655
315	302	654
316	302	652
317	303	650
318	303	648
319	304	646
320	304	644
321	305	642
322	305	641
323	306	639
324	306	637
325	307	635
326	307	633
327	308	631
328	308	630
329	309	628
330	309	626
331	310	624
332	310	622
333	311	621
334	312	619
335	312	617
336	313	615
337	313	614
338	314	612
339	314	610
340	315	609
341	315	607
342	316	606
343	316	604
344	317	602
345	318	601
346	318	599
347	319	597
348	319	596
349	320	594
350	320	592
351	321	591
352	321	589
353	322	588
354	322	586
355	323	585
356	324	583
357	324	582
358	325	581
359	326	580
360	326	578
361	327	577
362	328	575
363	328	574
364	329	572
365	329	571
366	330	569
367	330	568
368	331	566
369	331	565
370	332	563
371	332	562
372	333	560
373	334	559
374	334	557
375	335	556
376	335	554
377	336	553
378	336	551
379	337	550
380	337	548
381	338	547
382	338	546
383	339	544
384	339	543
385	340	541
386	341	540
387	341	538
388	342	537
389	342	535
390	343	534
391	343	532
392	344	531
393	344	530
394	345	528
395	345	527
396	346	526
397	346	524
398	347	523
399	347	521
400	348	520
401	349	519
402	349	517
403	350	516
404	350	515
405	351	513
406	351	512
407	352	510
408	352	509
409	353	508
410	353	506
411	354	505
412	354	504
413	355	502
414	355	501
415	356	500
